id_tabela,nome_coluna,chave,cobertura_temporal,valor
morador_2017,sexo,1,(1),Homem
morador_2017,sexo,2,(1),Mulher
domicilio_2017,V0201,1,(1),Casa
domicilio_2017,V0201,2,(1),Apartamento
domicilio_2017,V0201,3,(1),"Habitação em casa de cômodos, cortiço ou cabeça de porco"
domicilio_2017,V0202,1,(1),Alvenaria com revestimento / Taipa com revestimento
domicilio_2017,V0202,2,(1),Alvenaria sem revestimento
domicilio_2017,V0202,3,(1),Taipa sem revestimento
domicilio_2017,V0202,4,(1),Madeira apropriada para construção (aparelhada)
domicilio_2017,V0202,5,(1),Madeira aproveitada
domicilio_2017,V0202,6,(1),Outro material
domicilio_2017,V0203,1,(1),Telha sem laje de concreto
domicilio_2017,V0203,2,(1),Telha com laje de concreto
domicilio_2017,V0203,3,(1),Somente laje de concreto
domicilio_2017,V0203,4,(1),Madeira apropriada para construção (aparelhada)
domicilio_2017,V0203,5,(1),"Zinco, alumínio ou chapa metálica"
domicilio_2017,V0203,6,(1),Outro material
domicilio_2017,V0204,1,(1),"Cerâmica, lajota ou pedra"
domicilio_2017,V0204,2,(1),Madeira apropriada para construção (aparelhada)
domicilio_2017,V0204,3,(1),Cimento
domicilio_2017,V0204,4,(1),Terra
domicilio_2017,V0204,5,(1),Outro Material
domicilio_2017,V0207,1,(1),Rede geral de distribuição
domicilio_2017,V0207,2,(1),Poço profundo ou artesiano
domicilio_2017,V0207,3,(1),"Poço raso, freático ou cacimba"
domicilio_2017,V0207,4,(1),Fonte ou nascente
domicilio_2017,V0207,5,(1),Água da chuva armazenada
domicilio_2017,V0207,6,(1),Outra forma
domicilio_2017,V0208,,(1),Branco Não Aplicável
domicilio_2017,V0208,1,(1),Diariamente
domicilio_2017,V0208,2,(1),De a dias na semana
domicilio_2017,V0208,3,(1),De a dias na semana
domicilio_2017,V0208,4,(1),Outra frequência
domicilio_2017,V0209,1,(1),Canalizada em pelo menos um cômodo
domicilio_2017,V0209,2,(1),Canalizada só na propriedade ou terreno
domicilio_2017,V0209,3,(1),Não canalizada
domicilio_2017,V0212,,(1),Branco Não Aplicável
domicilio_2017,V0212,1,(1),"Rede geral, rede pluvial ou fossa ligada à rede"
domicilio_2017,V0212,2,(1),Fossa não ligada à rede
domicilio_2017,V0212,3,(1),Vala
domicilio_2017,V0212,4,(1),"Rio, lago ou mar"
domicilio_2017,V0212,5,(1),Outra forma
domicilio_2017,V0213,1,(1),Coletado diretamente por serviço de limpeza
domicilio_2017,V0213,2,(1),Coletado em caçamba de serviço de limpeza
domicilio_2017,V0213,3,(1),Queimado (na propriedade)
domicilio_2017,V0213,4,(1),Enterrado (na propriedade)
domicilio_2017,V0213,5,(1),Jogado em terreno baldio ou logradouro
domicilio_2017,V0213,6,(1),Outro destino
domicilio_2017,V0215,,(1),Branco Não Aplicável
domicilio_2017,V0215,1,(1),"Diária, em tempo integral"
domicilio_2017,V0215,2,(1),"Diária, por algumas horas"
domicilio_2017,V0215,3,(1),Outra frequência
domicilio_2017,V0217,1,(1),Próprio de algum morador já pago
domicilio_2017,V0217,2,(1),Próprio de algum morador ainda pagando
domicilio_2017,V0217,3,(1),Alugado
domicilio_2017,V0217,4,(1),Cedido por empregador
domicilio_2017,V0217,5,(1),Cedido por familiar
domicilio_2017,V0217,6,(1),Cedido de outra forma
domicilio_2017,V0217,7,(1),Outra condição
domicilio_2017,V0219,,(1),Branco Não Aplicável
domicilio_2017,V0219,1,(1),Verbal (“só de boca”)
domicilio_2017,V0219,2,(1),Documentado através de imobiliária
domicilio_2017,V0219,3,(1),Documentado através de outra fonte
domicilio_2017,V0220,1,(1),Sim
domicilio_2017,V0220,2,(1),Não
domicilio_2017,V0221,1,(1),Por entrega domiciliária (pelo carteiro)
domicilio_2017,V0221,2,(1),Em caixa postal comunitária CPC
domicilio_2017,V0221,3,(1),Em agência de correiros mais próxima
domicilio_2017,V0221,4,(1),Por entrega em outro endereço
domicilio_2017,V0221,5,(1),Por outra forma
morador_2017,V0306,1,(1),Pessoa de referência da UC
morador_2017,V0306,2,(1),Cônjuge ou companheiro(a) de sexo diferente
morador_2017,V0306,3,(1),Cônjuge ou companheiro(a) do mesmo sexo
morador_2017,V0306,4,(1),Filho(a) da pessoa de referência e do cônjuge
morador_2017,V0306,5,(1),Filho(a) somente da pessoa de referência
morador_2017,V0306,6,(1),Filho(a) somente do cônjuge
morador_2017,V0306,7,(1),Genro ou nora
morador_2017,V0306,8,(1),"Pai, mãe, padrasto ou madrasta"
morador_2017,V0306,9,(1),Sogro(a)
morador_2017,V0306,10,(1),Neto(a)
morador_2017,V0306,11,(1),Bisneto(a)
morador_2017,V0306,12,(1),Irmão ou irmã
morador_2017,V0306,13,(1),Avô ou avó
morador_2017,V0306,14,(1),Outro parente
morador_2017,V0306,15,(1),Agregado(a) não parente que não compartilha despesas
morador_2017,V0306,16,(1),Convivente não parente que compartilha despesas
morador_2017,V0306,17,(1),Pensionista
morador_2017,V0306,18,(1),Empregado(a) doméstico(a)
morador_2017,V0306,19,(1),Parente do(a) empregado(a) doméstico(a)
morador_2017,V0401,1,(1),Morador Presente
morador_2017,V0401,2,(1),Morador Ausente
morador_2017,V0406,1,(1),Sim
morador_2017,V0406,2,(1),Não
morador_2017,V0407,,(1),Branco Não Aplicável
morador_2017,V0407,1,(1),Sim
morador_2017,V0407,2,(1),Não
morador_2017,V0408,,(1),Branco Não Aplicável
morador_2017,V0408,1,(1),Sim
morador_2017,V0408,2,(1),Não
morador_2017,V0412,,(1),Branco Não Aplicável
morador_2017,V0412,1,(1),Sim
morador_2017,V0412,2,(1),Não
morador_2017,V0414,1,(1),Sim
morador_2017,V0414,2,(1),Não
morador_2017,V0415,1,(1),Sim
morador_2017,V0415,2,(1),Não
morador_2017,V0418,,(1),Branco Não Aplicável
morador_2017,V0418,1,(1),Rede privada
morador_2017,V0418,2,(1),Rede pública
morador_2017,V0419,,(1),Branco Não Aplicável
morador_2017,V0419,1,(1),Creche
morador_2017,V0419,2,(1),Préescola
morador_2017,V0419,3,(1),Alfabetização de jovens e adultos
morador_2017,V0419,4,(1),Regular do ensino fundamental
morador_2017,V0419,5,(1),Educação de jovens e adultos EJA do ensino fundamental
morador_2017,V0419,6,(1),Regular do ensino médio
morador_2017,V0419,7,(1),Educação de jovens e adultos EJA do ensino médio
morador_2017,V0419,8,(1),Superior graduação
morador_2017,V0419,9,(1),Especialização de nível superior (duração mínima de horas)
morador_2017,V0419,10,(1),Mestrado
morador_2017,V0419,11,(1),Doutorado
morador_2017,V0420,,(1),Branco Não Aplicável
morador_2017,V0420,1,(1),anos
morador_2017,V0420,2,(1),anos
morador_2017,V0421,,(1),Branco Não Aplicável
morador_2017,V0421,1,(1),Períodos semestrais
morador_2017,V0421,2,(1),Anos
morador_2017,V0421,3,(1),Outra forma
morador_2017,V0422,,(1),Branco Não Aplicável
morador_2017,V0422,1,(1),Primeira(o)
morador_2017,V0422,2,(1),Segunda(o)
morador_2017,V0422,3,(1),Terceira(o)
morador_2017,V0422,4,(1),Quarta(o)
morador_2017,V0422,5,(1),Quinta(o)
morador_2017,V0422,6,(1),Sexta(o)
morador_2017,V0422,7,(1),Sétima(o)
morador_2017,V0422,8,(1),Oitava(o)
morador_2017,V0422,9,(1),Nona(o)
morador_2017,V0422,10,(1),Décimo
morador_2017,V0422,11,(1),Décimo primeiro
morador_2017,V0422,12,(1),Décimo segundo
morador_2017,V0422,13,(1),Curso não classificado em séries ou anos
morador_2017,V0423,,(1),Branco Não Aplicável
morador_2017,V0423,1,(1),Sim
morador_2017,V0423,2,(1),Não
morador_2017,V0424,,(1),Branco Não Aplicável
morador_2017,V0424,1,(1),Sim
morador_2017,V0424,2,(1),Não
morador_2017,V0425,,(1),Branco Não Aplicável
morador_2017,V0425,1,(1),Creche
morador_2017,V0425,2,(1),Préescola
morador_2017,V0425,3,(1),Classe de alfabetização CA
morador_2017,V0425,4,(1),Alfabetização de jovens e adultos
morador_2017,V0425,5,(1),Antigo primário (elementar)
morador_2017,V0425,6,(1),Antigo ginasial (médio º ciclo)
morador_2017,V0425,7,(1),Regular do ensino fundamental ou do º grau
morador_2017,V0425,8,(1),Educação de jovens e adultos EJA do ensino fundamental ou supletivo do º grau
morador_2017,V0425,9,(1),"Antigo científico, clássico, etc. (médio º ciclo)"
morador_2017,V0425,10,(1),Regular do ensino médio ou do º grau
morador_2017,V0425,11,(1),Educação de jovens e adultos EJA do ensino médio ou supletivo do º grau
morador_2017,V0425,12,(1),Superior graduação
morador_2017,V0425,13,(1),Especialização de nível superior (duração mínima de horas)
morador_2017,V0425,14,(1),Mestrado
morador_2017,V0425,15,(1),Doutorado
morador_2017,V0426,,(1),Branco Não Aplicável
morador_2017,V0426,1,(1),anos
morador_2017,V0426,2,(1),anos
morador_2017,V0427,,(1),Branco Não Aplicável
morador_2017,V0427,1,(1),Períodos semestrais
morador_2017,V0427,2,(1),Anos
morador_2017,V0427,3,(1),Outra forma
morador_2017,V0428,,(1),Branco Não Aplicável
morador_2017,V0428,1,(1),Sim
morador_2017,V0428,2,(1),Não
morador_2017,V0428,3,(1),Curso não classificado em séries ou anos
morador_2017,V0429,,(1),Branco Não Aplicável
morador_2017,V0429,1,(1),Primeira(o)
morador_2017,V0429,2,(1),Segunda(o)
morador_2017,V0429,3,(1),Terceira(o)
morador_2017,V0429,4,(1),Quarta(o)
morador_2017,V0429,5,(1),Quinta(o)
morador_2017,V0429,6,(1),Sexta(o)
morador_2017,V0429,7,(1),Sétima(o)
morador_2017,V0429,8,(1),Oitava(o)
morador_2017,V0429,9,(1),Nona(o)
morador_2017,V0429,10,(1),Décimo
morador_2017,V0429,11,(1),Décimo primeiro
morador_2017,V0429,12,(1),Décimo segundo
morador_2017,V0430,,(1),Branco Não Aplicável
morador_2017,V0430,1,(1),Sim
morador_2017,V0430,2,(1),Não
servico_nao_monetario_pof2_2017,V1905,,(1),Branco Não aplicável
servico_nao_monetario_pof2_2017,V1905,1,(1),Mensalista
despesa_coletiva_2017,V1905,1,(1),Mensalista
servico_nao_monetario_pof2_2017,V1905,2,(1),Diarista
despesa_coletiva_2017,V1905,3,(1),Diarista
servico_nao_monetario_pof2_2017,V1905,9,(1),Sem declaração
despesa_coletiva_2017,V1905,9,(1),Sem declaração
servico_nao_monetario_pof4_2017,V4104,,(1),Branco Não aplicável
despesa_individual_2017,V4104,,(1),Branco Não aplicável
servico_nao_monetario_pof4_2017,V4104,1,(1),"Lazer, recreio e férias"
despesa_individual_2017,V4104,1,(1),"Lazer, recreio e férias"
servico_nao_monetario_pof4_2017,V4104,2,(1),Visita a parentes e amigos
despesa_individual_2017,V4104,2,(1),Visita a parentes e amigos
despesa_individual_2017,V4104,3,(1),Negócios e motivos profissionais
servico_nao_monetario_pof4_2017,V4104,3,(1),Negócios e motivos profissionais
despesa_individual_2017,V4104,4,(1),Educação
servico_nao_monetario_pof4_2017,V4104,4,(1),Educação
servico_nao_monetario_pof4_2017,V4104,5,(1),Tratamentos médicos
despesa_individual_2017,V4104,5,(1),Tratamentos médicos
servico_nao_monetario_pof4_2017,V4104,6,(1),"Religião, peregrinações"
despesa_individual_2017,V4104,6,(1),"Religião, peregrinações"
despesa_individual_2017,V4104,7,(1),Outros motivos
servico_nao_monetario_pof4_2017,V4104,7,(1),Outros motivos
servico_nao_monetario_pof4_2017,V4104,9,(1),Sem declaração
despesa_individual_2017,V4104,9,(1),Sem declaração
despesa_individual_2017,V4105,,(1),Branco Não aplicável
servico_nao_monetario_pof4_2017,V4105,,(1),Branco Não aplicável
despesa_individual_2017,V4105,1,(1),Nacional
servico_nao_monetario_pof4_2017,V4105,1,(1),Nacional
servico_nao_monetario_pof4_2017,V4105,2,(1),Internacional
despesa_individual_2017,V4105,2,(1),Internacional
despesa_individual_2017,V4105,9,(1),Sem declaração
servico_nao_monetario_pof4_2017,V4105,9,(1),Sem declaração
rendimento_trabalho_2017,V5302,1,(1),Trabalhador Doméstico
rendimento_trabalho_2017,V5302,2,(1),"Militar do exército, da marinha, da aeronáutica, da polícia militar ou do corpo de bombeiros militar"
rendimento_trabalho_2017,V5302,3,(1),Empregado do setor privado
rendimento_trabalho_2017,V5302,4,(1),Empregado do setor público (inclusive empresas de economia mista)
rendimento_trabalho_2017,V5302,5,(1),Empregador
rendimento_trabalho_2017,V5302,6,(1),Conta própria
rendimento_trabalho_2017,V5302,7,(1),Trabalhador não remunerado em ajuda a membro do domicílio ou parente
rendimento_trabalho_2017,V5303,,(1),Branco Não aplicável
rendimento_trabalho_2017,V5303,1,(1),Sim
rendimento_trabalho_2017,V5303,2,(1),Não
rendimento_trabalho_2017,V5304,,(1),Branco Não aplicável
rendimento_trabalho_2017,V5304,1,(1),Sim
rendimento_trabalho_2017,V5304,2,(1),Não
rendimento_trabalho_2017,V5305,,(1),Branco Não aplicável
rendimento_trabalho_2017,V5305,1,(1),Sim
rendimento_trabalho_2017,V5305,2,(1),Não
rendimento_trabalho_2017,V5307,,(1),Branco Não aplicável
rendimento_trabalho_2017,V5307,1,(1),Em dinheiro
rendimento_trabalho_2017,V5307,2,(1),Em dinheiro e benefícios
rendimento_trabalho_2017,V5307,3,(1),Somente em benefícios
rendimento_trabalho_2017,V5307,4,(1),Não teve rendimento
rendimento_trabalho_2017,V5315,,(1),Branco Não aplicável
rendimento_trabalho_2017,V5315,1,(1),até minutos
rendimento_trabalho_2017,V5315,2,(1),de minutos até minutos
rendimento_trabalho_2017,V5315,3,(1),mais de minutos até hora
rendimento_trabalho_2017,V5315,4,(1),mais de hora até horas
rendimento_trabalho_2017,V5315,5,(1),mais de horas
rendimento_trabalho_2017,V5315,9,(1),Sem declaração
condicoes_vida_2017,V6101,1,(1),Muita dificuldade
condicoes_vida_2017,V6101,2,(1),Dificuldade
condicoes_vida_2017,V6101,3,(1),Alguma dificuldade
condicoes_vida_2017,V6101,4,(1),Alguma facilidade
condicoes_vida_2017,V6101,5,(1),Facilidade
condicoes_vida_2017,V6101,6,(1),Muita facilidade
condicoes_vida_2017,V6108,1,(1),Sim
condicoes_vida_2017,V6108,2,(1),Não
condicoes_vida_2017,V6109,1,(1),Sim
condicoes_vida_2017,V6109,2,(1),Não
condicoes_vida_2017,V6110,1,(1),Sim
condicoes_vida_2017,V6110,2,(1),Não
condicoes_vida_2017,V6111,1,(1),Sim
condicoes_vida_2017,V6111,2,(1),Não
condicoes_vida_2017,V6112,,(1),Branco Não Aplicável
condicoes_vida_2017,V6112,1,(1),Sim
condicoes_vida_2017,V6112,2,(1),Não
condicoes_vida_2017,V6113,,(1),Branco Não Aplicável
condicoes_vida_2017,V6113,1,(1),Sim
condicoes_vida_2017,V6113,2,(1),Não
condicoes_vida_2017,V6114,,(1),Branco Não Aplicável
